country;Crime_index;2016 EPI Score;EDU_AMOUNT;freedom status;PR;CL;Freedom rating;Aggregate score;Index Health;Personal Income Tax Rate
Afghanistan;73,85;37,5;56,15;Not Free;6;6;6;24;;20
Albania;44,27;74,38;99,75;Partly Free;3;3;3;67;;23
Algeria;49,63;70,28;91,16;Not Free;6;5;5,5;35;;35
Andorra;;;;Free;1;1;1;96;0,982;
Angola;65,51;51,32;;Not Free;6;6;6;24;;17
Antigua and Barbuda;;62,55;;Free;2;2;2;82;;
Argentina;62,63;79,84;94,35;Free;2;2;2;79;;35
Armenia;27,08;81,6;99,21;Partly Free;5;4;4,5;46;;36
Australia;42,42;87,22;99,86;Free;1;1;1;98;0,876;45
Austria;19,25;86,64;99,71;Free;1;1;1;95;0,959;55
Azerbaijan;27,05;83,78;98,94;Not Free;7;6;6,5;16;;25
Bahamas;63,21;;;Free;1;1;1;92;;0
Bahrain;35,35;70,07;96,29;Not Free;7;6;6,5;14;0,824;0
Bangladesh;67,24;41,77;97,38;Partly Free;4;4;4;49;;30
Barbados;;54,96;99,08;Free;1;1;1;98;0,808;33,5
Belarus;22,26;82,3;99,94;Not Free;7;6;6,5;17;;13
Belgium;44,51;80,15;99,33;Free;1;1;1;96;0,915;53,7
Belize;;73,55;90,2;Free;1;2;1,5;87;;
Benin;;43,66;71,25;Free;2;2;2;82;;
Bhutan;;64,99;97,65;Partly Free;3;4;3,5;56;;
Bolivia;59,5;71,09;90,04;Partly Free;3;3;3;68;;13
Bosnia and Herzegovina;40,97;63,28;;Partly Free;4;3;3,5;57;;10
Botswana;58,22;70,72;98,32;Free;3;2;2,5;73;;25
Brazil;70,62;78,9;81,93;Free;2;2;2;81;;27,5
Brunei;36,07;;99,44;Not Free;6;5;5,5;29;;0
Bulgaria;40,18;83,4;94,81;Free;2;2;2;80;;10
Burkina Faso;;43,71;48,91;Partly Free;4;3;3,5;59;;
Burundi;;43,37;30,85;Not Free;7;6;6,5;19;;
Cambodia;54,61;51,24;79,12;Not Free;6;5;5,5;32;;20
Cameroon;;57,13;47,83;Not Free;6;6;6;24;;35
Canada;39,25;85,06;;Free;1;1;1;99;0,881;33
Cape Verde;;51,98;85,69;Free;1;1;1;90;;
Central African Republic;;46,46;44,71;Not Free;7;7;7;7;;
Chad;;37,83;64,22;Not Free;7;6;6,5;20;;60
Chile;47,5;77,67;96,74;Free;1;1;1;95;0,87;40
China;33,9;65,1;95,14;Not Free;7;6;6,5;16;;45
Colombia;51,69;75,93;98,49;Partly Free;3;4;3,5;63;0,91;33
Comoros;;49,2;63,18;Partly Free;3;4;3,5;55;;
Congo, Democratic Republic of (Kinshasa);;;;Not Free;6;6;6;25;;
Congo, Republic of (Brazzaville);;;;Not Free;6;5;5,5;28;;
Costa Rica;55,94;80,03;97,18;Free;1;1;1;90;0,849;15
Crimea *;;;;Not Free;7;6;6,5;9;;
Croatia;27,8;86,98;99,55;Free;1;2;1,5;87;0,812;47,2
Cuba;;79,04;98,5;Not Free;7;6;6,5;15;0,834;
Cyprus;32,46;80,24;99,91;Free;1;1;1;94;0,906;35
Czech Republic;30,18;84,67;98,75;Free;1;1;1;95;0,805;15
C?te d'Ivoire;;;;Partly Free;4;4;4;51;;
Denmark;21,13;89,21;96,76;Free;1;1;1;98;0,862;55,8
Djibouti;;45,29;87,94;Not Free;6;5;5,5;28;;
Dominica;;73,25;95,37;Free;1;1;1;95;0,854;
Dominican Republic;62,62;75,32;89,68;Partly Free;3;3;3;70;0,789;25
Ecuador;50,88;66,58;63,79;Partly Free;3;3;3;59;;35
Egypt;52,86;66,45;;Not Free;6;5;5,5;27;;22,5
El Salvador;71,57;68,07;91,72;Free;2;3;2,5;69;;30
Equatorial Guinea;;69,59;73,27;Not Free;7;7;7;8;;35
Eritrea;;36,73;82,89;Not Free;7;7;7;3;;
Estonia;23;88,59;98,14;Free;1;1;1;94;;20
Ethiopia;49,18;45,83;88,48;Not Free;7;6;6,5;15;;35
Fiji;55,6;75,29;99,9;Partly Free;3;3;3;62;;20
Finland;24,63;90,68;99,99;Free;1;1;1;100;0,881;51,6
France;43,66;88,2;98,87;Free;1;1;1;91;0,994;50,2
Gabon;;67,37;49,27;Not Free;6;5;5,5;34;;35
Gambia, The;;;;Not Free;7;6;6,5;18;;
Gaza Strip *;;;;Not Free;7;6;6,5;12;;
Georgia;20,83;64,96;99,44;Partly Free;3;3;3;64;;20
Germany;32,03;84,26;98,86;Free;1;1;1;95;0,902;47,5
Ghana;46,99;58,89;97,81;Free;1;2;1,5;83;;25
Greece;40,32;85,81;97,25;Free;2;2;2;83;0,933;48
Grenada;;63,28;90,7;Free;1;2;1,5;89;;
Guatemala;59,58;69,64;91,48;Partly Free;4;4;4;54;;7
Guinea;;55,4;30,58;Partly Free;5;5;5;40;;40
Guinea-Bissau;;48,2;63,37;Partly Free;5;5;5;39;;
Guyana;;71,14;93,17;Free;2;3;2,5;74;;
Haiti;;43,28;61,58;Partly Free;5;5;5;41;;
Honduras;78,34;69,64;70,86;Partly Free;4;4;4;45;;25
Hong Kong *;;;;Partly Free;5;2;3,5;63;;
Hungary;38,39;84,6;99,12;Free;2;2;2;79;;15
Iceland;27,49;90,51;99,83;Free;1;1;1;100;0,932;46,3
India;43,96;53,58;85,13;Free;2;3;2,5;77;;35,54
Indian Kashmir *;;;;Partly Free;4;4;4;51;;
Indonesia;49,68;65,85;89,65;Partly Free;2;4;3;65;;30
Iran;50,9;66,32;;Not Free;6;6;6;17;;
Iraq;54,35;63,97;70,21;Not Free;5;6;5,5;27;;15
Ireland;45,77;86,6;98,78;Free;1;1;1;96;0,924;48
Israel;29,01;78,14;70,53;Free;1;2;1,5;80;0,884;50
Italy;44,66;84,48;99,72;Free;1;1;1;89;0,991;48,8
Jamaica;67,48;77,02;98,63;Free;2;3;2,5;75;0,782;25
Japan;20,89;80,59;100;Free;1;1;1;96;0,957;55,95
Jordan;43,14;72,24;98,73;Not Free;6;5;5,5;36;;20
Kazakhstan;48,29;73,29;99,8;Not Free;6;5;5,5;24;;10
Kenya;64,96;62,49;;Partly Free;4;4;4;51;;30
Kiribati;;60,48;34,5;Free;1;1;1;91;;
Kosovo;;;;Partly Free;3;4;3,5;52;;10
Kuwait;33,48;64,41;97,08;Partly Free;5;5;5;36;0,81;0
Kyrgyzstan;;;99,77;Partly Free;5;5;5;38;;
Laos;;50,29;78,78;Not Free;7;6;6,5;12;;24
Latvia;36,45;85,71;94;Free;2;2;2;86;;23
Lebanon;49,16;69,14;86,47;Partly Free;5;4;4,5;43;;20
Lesotho;;47,17;67,17;Partly Free;3;3;3;67;;30
Liberia;;43,42;;Partly Free;3;4;3,5;61;;
Libya;54,47;63,29;;Not Free;6;6;6;20;;10
Liechtenstein;;;98,55;Free;1;1;1;98;;24
Lithuania;40,03;85,49;98,73;Free;1;1;1;91;;15
Luxembourg;29,04;86,58;;Free;1;1;1;98;0,928;43,6
Macedonia;38,66;78,02;;Partly Free;4;3;3,5;57;;10
Madagascar;;37,1;59,6;Partly Free;3;4;3,5;56;;20
Malawi;;49,69;76,8;Partly Free;3;3;3;64;;30
Malaysia;64,75;74,23;98,87;Partly Free;4;4;4;45;0,802;28
Maldives;46,98;57,1;87,12;Partly Free;4;5;4,5;43;;
Mali;;41,48;70,22;Partly Free;5;4;4,5;45;;
Malta;30,56;88,48;93,62;Free;1;1;1;96;0,978;35
Marshall Islands;;;93,67;Free;1;1;1;92;;
Mauritania;;46,31;34,46;Not Free;6;5;5,5;30;;40
Mauritius;51,13;70,85;69,3;Free;1;2;1,5;90;;15
Mexico;50,32;73,59;93,82;Partly Free;3;3;3;65;;35
Micronesia;;;;Free;1;1;1;93;;
Moldova;45,35;76,69;98,38;Partly Free;3;3;3;60;;18
Monaco;;;;Free;2;1;1,5;88;0,943;
Mongolia;67,62;64,39;96,97;Free;1;2;1,5;86;;10
Montenegro;38,67;78,89;;Partly Free;3;3;3;70;;9
Morocco;48,89;74,18;78,97;Partly Free;5;4;4,5;41;0,882;38
Mozambique;;41,82;57,4;Partly Free;4;4;4;56;;32
Myanmar;;48,98;;Not Free;6;5;5,5;28;;25
Nagorno-Karabakh *;;;;Partly Free;5;5;5;33;;
Namibia;63,09;70,84;77,68;Free;2;2;2;77;;37
Nauru;;;;Free;2;2;2;84;;
Nepal;37,15;50,21;81,36;Partly Free;3;4;3,5;51;;
Netherlands;29,89;82,03;98,12;Free;1;1;1;99;0,928;52
New Zealand;38,78;88;99,83;Free;1;1;1;98;0,827;33
Nicaragua;;64,19;99,15;Partly Free;4;3;3,5;54;;30
Niger;;37,48;47,31;Partly Free;3;4;3,5;52;;
Nigeria;70,87;58,27;;Partly Free;4;5;4,5;48;;24
North Korea;;;;Not Free;7;7;7;3;;
Northern Cyprus *;;;;Free;2;2;2;79;;
Norway;45,69;86,9;99,95;Free;1;1;1;100;0,955;38,7
Oman;24,47;60,13;97;Not Free;6;5;5,5;25;0,961;0
Pakistan;54,38;51,42;72,56;Partly Free;4;5;4,5;41;;20
Pakistani Kashmir *;;;;Not Free;6;5;5,5;28;;
Palau;;;;Free;1;1;1;92;;
Panama;50,01;78;98,52;Free;2;2;2;83;;25
Papua New Guinea;82,38;48,02;;Partly Free;4;3;3,5;59;;42
Paraguay;;70,36;87,48;Partly Free;3;3;3;64;;
Peru;63,28;72,95;93,38;Free;2;3;2,5;71;;30
Philippines;39,77;73,7;97,51;Partly Free;3;3;3;65;;32
Poland;31,53;81,26;91,87;Free;1;1;1;93;0,793;32
Portugal;35,39;88,63;;Free;1;1;1;97;0,945;56,5
Puerto Rico *;;;;Free;1;1;1;91;;
Qatar;15,7;69,94;98,68;Not Free;6;5;5,5;27;0,812;0
Romania;27,95;83,24;97,31;Free;2;2;2;83;;16
Russia;46,05;83,52;100;Not Free;6;6;6;22;;13
Rwanda;;50,34;11,96;Not Free;6;6;6;24;;30
Samoa;;70,2;96,29;Free;2;2;2;80;;27
San Marino;;;100;Free;1;1;1;100;0,988;
Saudi Arabia;23,65;68,63;94,15;Not Free;7;7;7;10;0,894;0
Senegal;;63,73;61,84;Free;2;2;2;78;;40
Serbia;38,62;78,67;;Free;2;2;2;78;;15
Seychelles;;64,92;98,25;Partly Free;3;3;3;68;;15
Sierra Leone;;45,98;;Partly Free;3;3;3;65;;30
Singapore;16,58;87,04;91,49;Partly Free;4;4;4;51;0,973;22
Slovakia;30,18;85,42;97,45;Free;1;1;1;89;;25
Slovenia;24,05;88,98;99,38;Free;1;1;1;92;0,838;50
Solomon Islands;;46,92;69,8;Partly Free;3;3;3;68;;
Somalia;58,83;27,66;;Not Free;7;7;7;2;;
Somaliland *;;;;Partly Free;5;5;5;40;;
South Africa;75,72;70,52;93,52;Free;2;2;2;79;;45
South Korea;25,27;70,61;;Free;2;2;2;83;;38
South Ossetia *;;;;Not Free;7;6;6,5;11;;
South Sudan;78,18;;;Not Free;7;6;6,5;14;;
Spain;31,28;88,91;98,15;Free;1;1;1;95;0,972;45
Sri Lanka;34,57;65,55;97,84;Partly Free;4;4;4;55;;15
St, Kitts and Nevis;;;;Free;2;1;1,5;88;;
St, Lucia;;;;Free;1;1;1;92;;
St, Vincent and Grenadines;;;;Free;1;1;1;91;;
Sudan;35,05;42,25;93,79;Not Free;7;7;7;6;;15
Suriname;;68,58;52,84;Free;2;3;2,5;77;;38
Swaziland;;60,63;88,51;Not Free;7;5;6;18;;33
Sweden;46,65;90,43;99,91;Free;1;1;1;100;0,908;57,1
Switzerland;22,45;86,93;99,42;Free;1;1;1;96;0,916;40
Syria;66,34;66,91;95,49;Not Free;7;7;7;-1;;22
S?o Tom? and Pr?ncipe;;;;Free;2;2;2;81;;
Taiwan;17,24;74,88;;Free;1;2;1,5;89;;45
Tajikistan;;73,05;98,36;Not Free;7;6;6,5;16;;13
Tanzania;61,39;58,34;46,12;Partly Free;3;4;3,5;60;;30
Thailand;49,78;69,54;86,74;Not Free;6;5;5,5;32;0,807;35
Tibet *;;;;Not Free;7;7;7;1;;
Timor-Leste;;55,79;;Partly Free;3;3;3;65;;
Togo;;46,1;53,15;Partly Free;4;4;4;48;;
Tonga;;66,86;76,71;Free;2;2;2;75;;
Transnistria *;;;;Not Free;6;6;6;24;;
Trinidad and Tobago;70,15;74,34;90,38;Free;2;2;2;81;;25
Tunisia;40,94;77,28;82,39;Free;1;3;2;79;0,785;35
Turkey;41,09;67,68;94,86;Partly Free;3;4;3,5;53;;35
Turkmenistan;;70,24;;Not Free;7;7;7;4;;
Tuvalu;;;69,29;Free;1;1;1;94;;
Uganda;56,87;57,56;61,33;Not Free;6;5;5,5;36;;40
Ukraine;51,27;79,69;99,58;Partly Free;3;3;3;61;;18
Ukraine Україна Translation;;;;Частково вільна;3;3;3;61;;
United Arab Emirates;20,66;69,35;98,38;Not Free;6;6;6;20;0,886;0
United Kingdom;41,19;87,38;;Free;1;1;1;95;0,925;45
Liberia;;43,42;;Partly Free;3;4;3,5;61;;
Libya;54,47;63,29;;Not Free;6;6;6;20;;10
Liechtenstein;;;98,55;Free;1;1;1;98;;24
Lithuania;40,03;85,49;98,73;Free;1;1;1;91;;15
Luxembourg;29,04;86,58;;Free;1;1;1;98;0,928;43,6
Macedonia;38,66;78,02;;Partly Free;4;3;3,5;57;;10
Madagascar;;37,1;59,6;Partly Free;3;4;3,5;56;;20
Malawi;;49,69;76,8;Partly Free;3;3;3;64;;30
Malaysia;64,75;74,23;98,87;Partly Free;4;4;4;45;0,802;28
Maldives;46,98;57,1;87,12;Partly Free;4;5;4,5;43;;
Mali;;41,48;70,22;Partly Free;5;4;4,5;45;;
Malta;30,56;88,48;93,62;Free;1;1;1;96;0,978;35
Marshall Islands;;;93,67;Free;1;1;1;92;;
Mauritania;;46,31;34,46;Not Free;6;5;5,5;30;;40
Mauritius;51,13;70,85;69,3;Free;1;2;1,5;90;;15
Mexico;50,32;73,59;93,82;Partly Free;3;3;3;65;;35
Micronesia;;;;Free;1;1;1;93;;
Moldova;45,35;76,69;98,38;Partly Free;3;3;3;60;;18
Monaco;;;;Free;2;1;1,5;88;0,943;
Mongolia;67,62;64,39;96,97;Free;1;2;1,5;86;;10
Montenegro;38,67;78,89;;Partly Free;3;3;3;70;;9
Morocco;48,89;74,18;78,97;Partly Free;5;4;4,5;41;0,882;38
Mozambique;;41,82;57,4;Partly Free;4;4;4;56;;32
Myanmar;;48,98;;Not Free;6;5;5,5;28;;25
Nagorno-Karabakh *;;;;Partly Free;5;5;5;33;;
Namibia;63,09;70,84;77,68;Free;2;2;2;77;;37
Nauru;;;;Free;2;2;2;84;;
Nepal;37,15;50,21;81,36;Partly Free;3;4;3,5;51;;
Netherlands;29,89;82,03;98,12;Free;1;1;1;99;0,928;52
New Zealand;38,78;88;99,83;Free;1;1;1;98;0,827;33
Nicaragua;;64,19;99,15;Partly Free;4;3;3,5;54;;30
Niger;;37,48;47,31;Partly Free;3;4;3,5;52;;
Nigeria;70,87;58,27;;Partly Free;4;5;4,5;48;;24
North Korea;;;;Not Free;7;7;7;3;;
Northern Cyprus *;;;;Free;2;2;2;79;;
Norway;45,69;86,9;99,95;Free;1;1;1;100;0,955;38,7
Oman;24,47;60,13;97;Not Free;6;5;5,5;25;0,961;0
Pakistan;54,38;51,42;72,56;Partly Free;4;5;4,5;41;;20
Pakistani Kashmir *;;;;Not Free;6;5;5,5;28;;
Palau;;;;Free;1;1;1;92;;
Panama;50,01;78;98,52;Free;2;2;2;83;;25
Papua New Guinea;82,38;48,02;;Partly Free;4;3;3,5;59;;42
Paraguay;;70,36;87,48;Partly Free;3;3;3;64;;
Peru;63,28;72,95;93,38;Free;2;3;2,5;71;;30
Philippines;39,77;73,7;97,51;Partly Free;3;3;3;65;;32
Poland;31,53;81,26;91,87;Free;1;1;1;93;0,793;32
Portugal;35,39;88,63;;Free;1;1;1;97;0,945;56,5
Puerto Rico *;;;;Free;1;1;1;91;;
Qatar;15,7;69,94;98,68;Not Free;6;5;5,5;27;0,812;0
Romania;27,95;83,24;97,31;Free;2;2;2;83;;16
Russia;46,05;83,52;100;Not Free;6;6;6;22;;13
Rwanda;;50,34;11,96;Not Free;6;6;6;24;;30
Samoa;;70,2;96,29;Free;2;2;2;80;;27
San Marino;;;100;Free;1;1;1;100;0,988;
Saudi Arabia;23,65;68,63;94,15;Not Free;7;7;7;10;0,894;0
Senegal;;63,73;61,84;Free;2;2;2;78;;40
Serbia;38,62;78,67;;Free;2;2;2;78;;15
Seychelles;;64,92;98,25;Partly Free;3;3;3;68;;15
Sierra Leone;;45,98;;Partly Free;3;3;3;65;;30
Singapore;16,58;87,04;91,49;Partly Free;4;4;4;51;0,973;22
Slovakia;30,18;85,42;97,45;Free;1;1;1;89;;25
Slovenia;24,05;88,98;99,38;Free;1;1;1;92;0,838;50
Solomon Islands;;46,92;69,8;Partly Free;3;3;3;68;;
Somalia;58,83;27,66;;Not Free;7;7;7;2;;
Somaliland *;;;;Partly Free;5;5;5;40;;
South Africa;75,72;70,52;93,52;Free;2;2;2;79;;45
South Korea;25,27;70,61;;Free;2;2;2;83;;38
South Ossetia *;;;;Not Free;7;6;6,5;11;;
South Sudan;78,18;;;Not Free;7;6;6,5;14;;
Spain;31,28;88,91;98,15;Free;1;1;1;95;0,972;45
Sri Lanka;34,57;65,55;97,84;Partly Free;4;4;4;55;;15
St, Kitts and Nevis;;;;Free;2;1;1,5;88;;
St, Lucia;;;;Free;1;1;1;92;;
St, Vincent and Grenadines;;;;Free;1;1;1;91;;
Sudan;35,05;42,25;93,79;Not Free;7;7;7;6;;15
Suriname;;68,58;52,84;Free;2;3;2,5;77;;38
Swaziland;;60,63;88,51;Not Free;7;5;6;18;;33
Sweden;46,65;90,43;99,91;Free;1;1;1;100;0,908;57,1
Switzerland;22,45;86,93;99,42;Free;1;1;1;96;0,916;40
Syria;66,34;66,91;95,49;Not Free;7;7;7;-1;;22
S?o Tom? and Pr?ncipe;;;;Free;2;2;2;81;;
Taiwan;17,24;74,88;;Free;1;2;1,5;89;;45
Tajikistan;;73,05;98,36;Not Free;7;6;6,5;16;;13
Tanzania;61,39;58,34;46,12;Partly Free;3;4;3,5;60;;30
Thailand;49,78;69,54;86,74;Not Free;6;5;5,5;32;0,807;35
Tibet *;;;;Not Free;7;7;7;1;;
Timor-Leste;;55,79;;Partly Free;3;3;3;65;;
Togo;;46,1;53,15;Partly Free;4;4;4;48;;
Tonga;;66,86;76,71;Free;2;2;2;75;;
Transnistria *;;;;Not Free;6;6;6;24;;
Trinidad and Tobago;70,15;74,34;90,38;Free;2;2;2;81;;25
Tunisia;40,94;77,28;82,39;Free;1;3;2;79;0,785;35
Turkey;41,09;67,68;94,86;Partly Free;3;4;3,5;53;;35
Turkmenistan;;70,24;;Not Free;7;7;7;4;;
Tuvalu;;;69,29;Free;1;1;1;94;;
Uganda;56,87;57,56;61,33;Not Free;6;5;5,5;36;;40
Ukraine;51,27;79,69;99,58;Partly Free;3;3;3;61;;18
Ukraine;51,27;79,69;99,58;Partly Free;3;3;3;61;;18
United Arab Emirates;20,66;69,35;98,38;Not Free;6;6;6;20;0,886;0
United Kingdom;41,19;87,38;;Free;1;1;1;95;0,925;45
